t_s,x_m,y_m
7.168,0.021504000000000002,0.002572579968580968
7.17,0.02151,0.002532983776506059
7.172,0.021516,0.002491787697587455
7.174,0.021522000000000003,0.0024490177521515476
7.176,0.021528000000000002,0.0024047009546126277
7.178,0.021534,0.002358865296409858
7.18,0.02154,0.002311539728327372
7.182,0.021546000000000003,0.0022627541422083185
7.184,0.021552,0.002212539352074532
7.186,0.021558,0.002160927074663735
7.188,0.021564,0.0021079499093965655
7.19,0.021570000000000002,0.0020536413177860567
7.192,0.021576,0.001998035602302749
7.194,0.021582,0.0019411678847083304
7.196,0.021588,0.0018830740838721024
7.198,0.021594000000000002,0.001823790893083821
7.2,0.0216,0.001763355756877428
7.202,0.021606,0.001701806847380282
7.204,0.021612,0.0016391830402028241
7.206,0.021618000000000002,0.0015755238898838718
7.208,0.021624,0.0015108696049072712
7.21,0.02163,0.0014452610223051384
7.212,0.021636,0.001378739581864498
7.214,0.021642,0.0013113472999527994
7.216,0.021648,0.0012431267429798575
7.218,0.021654,0.0011741210005116165
7.22,0.02166,0.0011043736580540477
7.222,0.021666,0.0010339287695235295
7.224,0.021672,0.0009628308294216515
7.226,0.021678,0.0008911247447311324
7.228,0.021684,0.0008188558065520082
7.23,0.02169,0.0007460696614945602
7.232,0.021696,0.000672812282848144
7.234,0.021702,0.0005991299415432261
7.236,0.021707999999999998,0.0005250691769258378
7.238,0.021714,0.00045067676736228554
7.24,0.02172,0.00037599970069293175
7.242,0.021726,0.00030108514455366844
7.244,0.021732,0.00022598041658382665
7.246,0.021738,0.0001507329545392993
7.248,0.021744,7.539028633000774e-05
7.25,0.021750000000000002,-3.713883819530147e-21
7.252,0.021756,-7.539028633000774e-05
7.2540000000000004,0.021762,-0.0001507329545392993
7.256,0.021768000000000003,-0.00022598041658378415
7.258,0.021774,-0.000301085144553626
7.26,0.02178,-0.00037599970069288947
7.2620000000000005,0.021786000000000003,-0.00045067676736228554
7.264,0.021792000000000002,-0.0005250691769258378
7.266,0.021798,-0.0005991299415432261
7.268,0.021804,-0.000672812282848144
7.2700000000000005,0.021810000000000003,-0.0007460696614945602
7.272,0.021816000000000002,-0.000818855806551967
7.274,0.021822,-0.0008911247447310917
7.276,0.021828,-0.0009628308294216112
7.2780000000000005,0.021834000000000003,-0.0010339287695235696
7.28,0.021840000000000002,-0.0011043736580540477
7.282,0.021846,-0.0011741210005116165
7.284,0.021852,-0.0012431267429798187
7.2860000000000005,0.021858000000000002,-0.0013113472999527994
7.288,0.021864,-0.0013787395818644602
7.29,0.02187,-0.0014452610223051384
7.292,0.021876,-0.0015108696049072712
7.2940000000000005,0.021882000000000002,-0.0015755238898839082
7.296,0.021888,-0.0016391830402028241
7.298,0.021894,-0.0017018068473802469
7.3,0.0219,-0.0017633557568773935
7.3020000000000005,0.021906000000000002,-0.001823790893083821
7.304,0.021912,-0.0018830740838721024
7.306,0.021918,-0.0019411678847083304
7.308,0.021924,-0.001998035602302749
7.3100000000000005,0.02193,-0.0020536413177860567
7.312,0.021936,-0.002107949909396535
7.314,0.021942,-0.0021609270746637053
7.316,0.021948,-0.0022125393520745036
7.3180000000000005,0.021954,-0.0022627541422083185
7.32,0.02196,-0.002311539728327372
7.322,0.021966,-0.002358865296409858
7.324,0.021972,-0.0024047009546126277
7.3260000000000005,0.021978,-0.0024490177521515476
7.328,0.021984,-0.002491787697587431
7.33,0.02199,-0.002532983776506036
7.332,0.021996,-0.0025725799685809457
7.3340000000000005,0.022002,-0.002610551264008585
7.336,0.022008,-0.002646873679304865
7.338,0.022014000000000002,-0.0026815242724537946
7.34,0.02202,-0.0027144811573980594
7.3420000000000005,0.022026,-0.0027457235178627516
7.344,0.022032000000000003,-0.0027752316205033717
7.346,0.022038000000000002,-0.002802986827369832
7.348,0.022044,-0.002828971607678588
7.3500000000000005,0.022050000000000004,-0.0028531695488854675
7.352,0.022056000000000003,-0.0028755653670521327
7.354,0.022062000000000002,-0.0028961449164998246
7.356,0.022068,-0.0029148951987440132
7.3580000000000005,0.022074000000000003,-0.002931804370704581
7.36,0.022080000000000002,-0.0029468617521860654
7.362,0.022086,-0.002960057832623603
7.364,0.022092,-0.0029713842770899518
7.3660000000000005,0.022098000000000003,-0.0029808339315600283
7.368,0.022104000000000002,-0.0029884008274295194
7.37,0.02211,-0.002994080185284813
7.372,0.022116,-0.0029978684179217665
7.3740000000000006,0.022122000000000003,-0.002999763132611448
7.376,0.022128000000000002,-0.002999763132611448
7.378,0.022134,-0.002997868417921768
7.38,0.02214,-0.002994080185284815
7.382000000000001,0.022146000000000002,-0.0029884008274295147
